,title,publisher,date,isbn,Authors,category
163,"In Honor of De Kooning. Bacon, Balthus, Baselitz, Berlant, Chamberlain, Crozier, De Kooning, Dubuffet, Freud, Hague, Heizer, Johns, Lichtenstein, Marden, Mitchell, Morley, Murphy, Rockburne, Segal",,1984,OCLC:14821230,,De Kooning
16,"Willem De Kooning : Whitney museum of American art, New York, 15 décembre 1983-26 février 1984 ; Akademie der Künste, Berlin, 11 mars-29 avril 1984, Centre Georges-Pompidou, Musée national d'art moderne, [Paris], 28 juin-24 septembre 1984. ","Paris : Centre Georges-Pompidou , 1984",1984,2858502552,,De Kooning
17,"Willem de Kooning : Retrospektive, Zeichnungen, Gemälde, Skulpturen, [Ausstellung, Whitney museum of American art, New York, 15. Dezember 1983 - 26. Februar 1984, Akademie der Künste, Berlin, 11. März - 6. Mai 1984, Musée national d'art moderne, Centre Georges Pompidou, Paris, 26. Juni - 24. September 1984]. ","München : Prestel , cop. 1984",1984,3791306596,,De Kooning
74,Gustav Klimt 3. ,"Salzburg : Galerie Welz , cop. 1984",1984,3853491065,,Klimt
29,"Willem De Kooning : Nordatlantens ljus, [utställning], Stedelijk museum, Amsterdam, 11.5-3.7 1983, Louisiana museum of modern art, Humlebaek, 15.7-4.9 1983, Moderna museet, Stockholm, 17.9-30.10 1983. ","Stockholm : Moderna museet , 1984",1984,9171002367,,De Kooning
36,"De Kooning : petit journal de l'exposition, 28 juin-24 septembre 1984... Musée national d'art moderne, Centre Georges Pompidou [Paris]. ","Paris : Centre Georges Pompidou , 1984",1984,285850234X,,De Kooning
134,Willem de Kooning. ,,1984,OCLC:501278385,"Robert Rosenblum, Whitney Museum of American Art. New York, NY., Yves Michaud, Centre Georges Pompidou (Paris), Deutsche Akademie der Künste. Berlin, Ost, Centre National d'Art et de Culture Georges Pompidou. Paris",De Kooning
104,"Gustav Klimt, Oskar Kokoschka, Egon Schiele : Zeichnungen und Aquarelle, [Ausstellung, Pfalzgalerie, Kaiserslautern, 1. September bis 14. Oktober 1984]. ","Kaiserslautern : Pfalzgalerie , 1984",1984,8820205866,,Klimt
106,"Gustav Klimt : vingt dessins, [Paris, Galerie Berggruen, 1984]. ","Paris : Berggruen , 1984",1984,2904772057,,Klimt
166,De Kooning. ,,1984,2858502552,"Claire Stoullig, Catherine Bompuis, Akademie der Künste (Berlin, Germany)",De Kooning
130,"De Kooning, Lithographs. ",,1985,OCLC:173516539,Willem De Kooning,De Kooning
55,"De Kooning, dipinti, disegni, sculture. ",,1985,UOM:39015015825683,Willem De Kooning,De Kooning
56,De Kooning. ,,1985,OCLC:12250843,,De Kooning
108,"Willem de Kooning. Recent Paintings, 1983-1986",Anthony D'Offay Gallery,1986,094756408X,Willem De Kooning,De Kooning
80,"Willem de Kooning, the First Twenty-six Years in New York. ",Dissertations-G,1986,UOM:39015015825857,Sally Yard,De Kooning
31,"Willem de Kooning, recent paintings, 1983-1986 : [exhibition held 21 November 1986 to 14 January 1987 at the Anthony d'Offay gallery, London]. ","London : Anthony d'Offay gallery , 1986",1986,094756408X,,De Kooning
223,Gustav Klimt. Women,,1986,OCLC:1302626212,Gustav Klimt,Klimt
