title,publisher,date,isbn,Authors
"Gustav Klimt, Oskar Kokoschka, Egon Schiele : Zeichnungen und Aquarelle, [Ausstellung, Pfalzgalerie, Kaiserslautern, 1. September bis 14. Oktober 1984]. ","Kaiserslautern : Pfalzgalerie , 1984",1984,8820205866,
"Gustav Klimt : von der Zeichnung zum Bild, mit 370 Abbildungen. ","Wien : C. Brandstätter , cop. 1992",1992,3854473699,
"Gustav Klimt : vingt dessins, [Paris, Galerie Berggruen, 1984]. ","Paris : Berggruen , 1984",1984,2904772057,
"Vienne 1900 : Klimt, Schiele, Moser, Kokoschka, [exposition], Galerie nationales du Grand Palais, Paris, 3 octobre 2005-23 janvier 2006. ","Paris : Réunion des musées nationaux , impr. 2005",2005,2711849244,
"Gustav Klimt, 1862-1918 : le monde à l'apparence féminine. ","Köln ; Lisboa ; Paris [etc.] : Taschen , cop. 1997",1997,3822883697,
Gustav Klimt. ,"Paris : La Martinière , 2000",2000,2732426415,
"Les grands artistes : une boîte magique pour apprendre à jouer avec l'art !, Léonard de Vinci, Caravage, cubisme, Claude Monet, Gustav Klimt, Vincent Van Gogh, surréalisme, Vassily Kandinsky, futurisme, pop art. ","[Paris] : Citadelles jeunesse , cop. 2017",2017,9782850887277,
Le chat de Gustav Klimt. ,"Paris : Grasset jeunesse , 2004",2004,2246667011,
Gustav Klimt : l'or de la séduction. ,"Paris : Gründ , DL 2007",2007,9782700016956,
Gustav Klimt. ,"Paris : Éditions Place des Victoires , [2016]",2016,9782809914290,
Vi presento Klimt. ,"Milan : Ed. Arka , 2005",2004,9788880721413,
Gustav Klimt. ,"New York ; [Paris] : Parkstone international , cop. 2006",2006,1859950663,
Gustav Klimt : la beauté viennoise. ,"Évreux : Éd. Atlas , impr. 2011",2011,9782731247824,
Gustav Klimt : l'oro della seduzione. ,"Firenze : Giunti , 2007",2007,8809047729,
"Gustav Klimt : Créez votre propre chef-d'oeuvre, [Album à colorier]. ","Paris : Larousse , 2019",2019,9782035969286,
Klimt : 1862-1918. ,"New York ; [Paris] : Parkstone international , cop. 2011",2011,9781906981198,
Gustav Klimt. ,"New York ; [Paris] : Parkstone international , cop. 2011",2011,9781844849055,
"Cahier de coloriages : Gustav Klimt le fondateur de la sécession viennoise, [album à colorier]. ","Paris : Chêne , 2016",2016,9782812313967,
"Cahier de coloriages : Gustav Klimt le fondateur de la Sécession viennoise, [album à colorier]. ","Vanves : Chêne , 2016",2016,9782812313646,
"Portfolio Gustav Klimt : 9 peintures, [Portfolio de reproductions]. ","Paris : Nouvelles éditions Scala , 2020",2020,9782359882490,
"Gustav Klimt, ""Les trois âges de la femme"". ","[Paris] : ""Le Monde"" ; Florence : E-ducation.it , cop. 2013",2013,9782361561307,
"Gustav Klimt : une immersion dans l'art et la musique, Atelier des lumières, Paris, une réalisation Gianfranco Iannuzzi, Renato Gatto, Massimiliano Siccardi. ","Issy-les-Moulineaux : ""Beaux-arts"" éditions , DL 2018",2018,9791020404404,
Gustav Klimt : dessins & peintures. ,Köln ; [Paris] : Taschen,2019,9783836562898,
"Élina : je vais sur le pot, je découvre un peintre, Gustav Klimt. ","[Paris] : les Éditions Sydney Laurent , 2022",2022,9791032649787,
"Berta Zuckerkandl : de Klimt à Rodin, une salonnière et critique d'art entre Vienne et Paris. ","Rennes : Presses universitaires de Rennes , DL 2023",2023,9782753592391,
Klimt. la secessione e l'Italia,,2021,8857246574,
Gustav Klimt. ,,1981,8820204649,Gustav Klimt
Gustav Klimt. Tutti i dipinti. ,,2018,383656291X,Tobias G. Natter
Klimt. ,,1980,UCSC:32106008329085,"Gustav Klimt, Cecilia Bernardini"
L'opera completa di Klimt. ,,1978,PSU:000032538878,"Gustav Klimt, Johannes Dobai, Sergio Coradeschi"
Gustav Klimt. ,Giunti,2018,9788858780428,"Sergio Risaliti, Giovanni Iovane"
"Klimt. L'uomo, l'artista, il suo mondo. Ediz. illustrata. ",,2022,8857247511,"Gabriella Belli, Elena Pontiggia"
Le muse di Klimt. ,Mondadori Electa,2016,9788851052355,Paola Romagnoli
"Gustav Klimt [Milaan, 1962].. ",,1962,OCLC:920744417,
Gustav Klimt. l'oro della seduzione,Giunti Editore,2009,8809745388,Eva Di Stefano
Gustav Klimt. disegni proibiti,,2005,887624509X,Annette Vogel
Gustav Klimt. Dal disegno al quadro. ,,2000,8817866024,Christian M. Nebehay
Gustav Klimt. 1862-1918 : il mondo in forma di donna,,2011,3836535149,Christoph Heinrich
Gustav Klimt e le origini della Secessione viennese. ,,1999,8820213095,Domenico Pertocoli
"Klimt, Kokoschka, Schiele. dall' art nouveau all' espressionismo ; Complesso del Vittoriano 6.10.2001-3.2.2002",,2001,UVA:X004595719,Jane Kallir
Gustav Klimt. l'infinita sensualità,,2006,8818022393,Giovanni Fanelli
Gustav Klimt. ,Parkstone International,2023,9781780422626,"Jane Rogoyska, Patrick Bade"
Gustav Klimt. La bellezza assoluta. ,,2019,8869214214,Otto Gabos
Klimt. ,,2006,3822818127,Gottfried Fliedl
Klimt. Disegni contro la morale. ,,1988,8872260337,Gustav Klimt
Klimt. ritratto di signora,,2023,8857251268,
Klimt. Il modernismo. ,,2016,8809991613,Eva Di Stefano
Gustav Klimt. disegni contro la morales,,1986,OCLC:882533182,Gustav Klimt
Il grande racconto di Klimt. ,,2019,8832213044,M. Rota
Klimt. la secessione e il tramonto d'oro dell'Impero austriaco,Leonardo Arte,1999,8878138673,"Tatjana Pauli, Gustav Klimt"
Klimt. Ediz. italiana. ,,2015,3836559730,Gilles Néret
Klimt. l'opera pittorica completa,,2008,8818025597,"Margherita Cavenago, Livia Spano"
Klimt e l'arte italiana. Ediz. illustrata. ,,2023,8836654703,"Beatrice Avanzi, V. Sgarbi"
Klimt. la sua vita in parole e immagini,,2012,389919232X,Harald Salfellner
Gustav Klimt. 1862-1918,,2000,3822859303,Gilles Néret
"Klimt. le donne, l'arte, gli amori",Tre Lune,2012,8889832479,Edgarda Ferri
"Gustav Klimt. disegni : Palazzo Pepoli Campogrande, maggio-giugno 1985",,1985,UOM:39015016636881,Gustav Klimt
Gustav Klimt. nel segno di Hoffmann e della secessione,24 Ore Cultura,2012,8866480975,"Alfred Weidinger, Agnes Husslein-Arco"
Klimt. Ediz. a colori. ,Varia illustrata,2017,8897427081,"Margherita Cavenago, Livia Spano"
Klimt. ,Parkstone International,2014,9781781609897,"Patrick Bade, Jane Rogoyska"
Nel mondo di Klimt. ,,2012,8809774361,Eva Di Stefano
Gustav Klimt. ,,1999,8843572296,Gustav Klimt
Klimt. Ediz. illustrata. ,Skira Masters,2018,8857233111,F. Ammiraglio
Klimt. alle origini di un mito,24 Ore Cultura,2014,8866481939,Alfred Weidinger
Gustav Klimt e la Secessione viennese. 1897 - 1997,,1997,8886187394,Cesare Biasini
Gustav Klimt i capolavori. ,,1988,8834240189,"Gustav Klimt, Gabriella Belli"
Klimt e i maestri «segreti» della Ricci Oddi. Catalogo della mostra. ,,2021,9791259580344,E. Pontiggia
Gustav Klimt. ,Arcturus Publishing,2019,9781839403323,A. N. Hodge
Klimt. Ediz. a colori. ,Storie bioGrafiche,2018,885403746X,Viv Croot
Klimt. le donne,Giunti Editore,2000,8809016084,Eva Di Stefano
Gustav Klimt. ,Parkstone International,2023,9781783106073,Patrick Bade
Gustav Klimt. disegni intorno al Fregio di Beethoven,,2012,8857214052,Annette Vogel
Gustav Klimt. ,Parkstone International,2012,9781783102549,"Jane Rogoyska, Patrick Bade"
Klimt. L'essenziale. ,,2021,8867225782,Valérie Mettais
Gustav Klimt. il sigillo della contraddizione,,1989,8877430621,Cristina Melloni
Gustav Klimt. 1862-1918,Taschen,2000,382285980X,"Gilles Néret, Gustav Klimt"
Gustav Klimt e Malcesine. la famiglia Zuckerkandl e il mistero di un quadro scomparso,,2013,8890893818,Paolo Boccafoglio
Schiele e Klimt. i maestri dell'arte moderna austriaca dalla Fondazione Leopold di Vienna,,2000,OCLC:46766955,"Rudolf Leopold, Egon Schiele, Gustav Klimt"
Polemiche su Klimt. ,,2012,8897634265,Hermann Bahr
Nel segno di Klimt. Ver sacrum. La rivista d'arte della Secessione viennese. ,,2006,888345233X,"M. Bressan, M. De Grassi"
"Schiele, Klimt, Kokoschka e gli amici viennesi. Catalgo della mostra (Rovereto, 7 ottobre 2006-8 gennaio 2007). ",,2006,8876249508,"Tobias Günter Natter, Tomas Sharman, Thomas Trummer"
Gustav Klimt. ,Crown,1987,UOM:39015042495013,Ilona Sármány-Parsons
Klimt. ,Knickerbocker Press,1998,1577150538,Maria Costantino
Da Klimt a Wols. ,,1994,UVA:X002576676,Fondazione Antonio Mazzotta
Gustav Klimt. ,Prestel Publishing,2007,UCSD:31822035208644,Nina Kränsel
Nel segno di Klimt. ver sacrum : la rivista d'arte della secessione viennese,,2007,8883452542,"Marina Bressan, Marino De Grassi"
Klimt. ,Parkstone International,2011,9781781606681,Patrick Bade
Gustav Klimt. ,,1995,1860191363,
"Gustav Klimt. Painting, Design and Modern Life",Tate,2008,UOM:39015077687021,"Gustav Klimt, Tate Gallery Liverpool"
La modella di Klimt. ,Baldini & Castoldi ,2020,9788893887403,Gabriele Dadati
Gustav Klimt. A Critical Reappraisal,McFarland,2017,9781476668086,Dani Cavallaro
"Ver Sacrum. La rivista della Secessione viennese 1898-1903. Gustav Klimt, Koloman Moser, Otto Wagner, Alfred Roller, Max Kurzweil, Joseph M. Olbrich, Josef Hoffmann. Ediz. a colori. ",Arte moderna. Cataloghi,2018,8857239314,Valerio Terraroli
Klimt. ,,2002,1856486788,Maria Costantino
Vi presento Klimt. ,,2020,8880722700,Bérénice Capatti
Gustav Klimt. Landscapes,Prestel Publishing,2006,UCSC:32106018478211,Gustav Klimt
"L'ossessione nordica. Klimt, Böcklin, Munch e la pittura italiana. Catalogo della mostra (Rovigo, 22 febbraio-21 giugno 2014). ",,2014,8831717847,"Giandomenico Romanelli, A. Tiddia"
Klimt and His Cat. ,Eerdmans Young Readers,2005,0802852823,Berenice Capatti
Klimt. ,Skira - Berenice,2008,8861308937,Federica Armiraglio
Delphi Complete Works of Gustav Klimt (Illustrated). ,Delphi Classics,2014,,Gustav Klimt
"Gustav Klimt. Silver, Gold and Precious Stones",Prestel Publishing,2000,3791323288,"Gustav Klimt, Angela Wenzel"
Klimt - Skira Mini Artbook. ,Skira - Berenice,2012,8857202720,Armiraglio Federica
Gustav Klimt. Drawings and Paintings,,1970,UOM:39015043410979,"Gustav Klimt, Alice Strobl"
Gustav Klimt. 1862 - 1918,,2007,383650281X,Gilles Néret
Klimt. ,,1989,8837410441,"Gustav Klimt, Fernando Huici"
"Gustav Klimt, 1862-1918. ",,1993,OCLC:1285563895,Gilles Néret
Klimt. Colour Library,Phaidon Press Limited,1996,UOM:39015038583319,"Catherine Dean, Gustav Klimt"
Gustav Klimt. Jahrhundertkünstler,,2018,3950451897,"Hans-Peter Wipplinger, Sandra Tretter"
La modella di Klimt. La vera storia del capolavoro ritrovato. ,,2020,8893883600,Gabriele Dadati
"Attorno a Klimt. Giuditta, eroismo e seduzione. ",,2016,8895598628,G. Belli
Gustav Klimt. La storia illustrata dei grandi protagonisti dell'arte. ,,2014,8866481955,Stefano Zuffi
"Nel segno di Klimt. Gorizia, salotto mitteleuropeo. ",,2017,8899489157,"Museo di Santa Chiara (Gorizia, Italie)., Paolo Bressan"
Gustav Klimt. Painter of Women,Prestel Publishing,1994,UOM:39015034025307,Susanna Partsch
Gustav Klimt. ,,1975,LCCN:75010965,Alessandra Comini
Gustav Klimt. From Drawing to Painting,,1994,UOM:39015034027758,Christian M. Nebehay
Gustav Klimt. ,,1965,OCLC:1419335230,
Klimt. Masters of Art,National Geographic Books,2022,9783791387932,Angela Wenzel
Il mistero del doppio ritratto di Klimt. ,,2018,889667381X,Ermanno Mariani
Gustav Klimt. ,Quercus,2008,1847246370,Rachel Barnes
Art Masterclass with Gustav Klimt. ,Wide Eyed Editions,2019,9781786037985,Lucy Brownridge
Gustav Klimt. Landscapes,National Geographic Books,2019,9783791385440,Stephan Koja
Klimt. ,Editions Gallimard,2017,9782072577161,Serge Sanchez
Gustav Klimt. Drawings and Pastels,,2014,9782897282226,Narim Bender
Gustav Klimt. Art Nouveau Visionary,Sterling Publishing Company,2008,9781402759208,Eva Di Stefano
Klimt. ,,2011,1780421060,Klaus Carl
Klimt. ,,1994,1858911664,"Françoise Ducros, Gustav Klimt"
"Gustav Klimt, Modernism in the Making. ",ABRAMS,2001,UOM:39015056280129,"Gustav Klimt, Colin B. Bailey, John Bruce Collins, John Collins, National Gallery of Canada"
Gustav Klimt. Twenty-five Drawings,,1964,OCLC:1008136620,Gustav Klimt
