title,Subtitle,publisher,date,isbn,Authors
"Willem de Kooning : tracing the figure, [exhibition, Los Angeles, Museum of contemporary art, 10 February-26 April 2002, San Francisco, San Francisco museum of modern art, 22 June-8 September 2002, Washington, National gallery of art, 29 September 2002-5 January 2003]",,"Los Angeles : Museum of contemporary art ; Princeton ; Oxord : Princeton university press , 2002",2002,069109618X,
"Willem de Kooning : [exposición] Institut valencià d'art modern, Valencia, 6-IX/2-XII 2001, Fundación la Caixa, Madrid, 20-XII 2001/25-III 2002",,"Valencia : Institut valencià d'art modern ; Madrid : Fundacio la Caixa , 2001",2001,8448228626,
Willem De Kooning,,"Paris : l'Échoppe , 1994",1994,2840680297,
"L'art contemporain : de l'informel aux recherches actuelles, Marina Abramović, Joseph Beuys, Maurizio Cattelan, Francesco Clemente, Willem de Kooning, Jean Dubuffet, Lucio Fontana, Keith Haring, Anselm Kiefer, Franz Kline, Joseph Kosuth, Mario Merz, Bruce Nauman, Jackson Pollock, Robert Rauschenberg, Richard Serra, Bill Viola, Andy Warhol",,"Paris : Gründ , DL 2008",2008,9782700024203,
"Willem De Kooning, 1904-1997 : les contenus, impressions fugitives",,"Köln ; London ; Paris [etc.] : Taschen , cop. 2004",2004,3822821349,
De Kooning : 1904-1997,,"Paris : Cercle d'art , 1998",1998,2702205006,
Willem de Kooning,,"New York : Abbeville press , cop. 1983",1983,1558592482,
Willem de Kooning,,"Lyon : Fage éditions , DL 2022",2022,9782849756874,
"Willem de Kooning, een portret",,"Leiden : Menken Kasander & Wigman , 2005",2005,9074622534,
"Chaïm Soutine, Willem de Kooning, La peinture incarnée : Musée de l'Orangerie",,"Paris : ""Beaux-arts"" éditions , DL 2021",2021,9791020406392,
"Willem De Kooning : works, writings and interviews",,"Barcelona : Ed. Polígrafa , 2007",2007,9788434311381,
Willem de Kooning,,"Paris : Hazan , DL 2006",2007,9782754101769,
"De Kooning, dipinti, disegni, sculture",N/A,N/A,1985,UOM:39015015825683,Willem De Kooning
De Kooning,N/A,N/A,1985,OCLC:12250843,N/A
Willem De Kooning,late paintings,Mondadori Electa,2006,UOM:39015066851935,"Willem De Kooning, Museo Carlo Bilotti"
De Kooning,N/A,N/A,1972,UOM:39015045652768,"Willem De Kooning, Gabriella Drudi"
De Kooning,A Retrospective,The Museum of Modern Art,2011,9780870707971,"Willem De Kooning, John Elderfield, Lauren Mahony, Jennifer Field, Delphine Huisinga, Susan Lake"
Willem de Kooning,The Artist's Materials,Getty Publications,2010,9781606060216,Susan Lake
Willem de Kooning,N/A,The Museum of Modern Art,2011,9780870707889,Carolyn Lanchner
Willem de Kooning,N/A,Rizzoli International Publications,1994,STANFORD:36105016413267,David Cateforis
Willem de Kooning and Italy,N/A,Marsilio Editori,2024,9791254631690,N/A
"Willem de Kooning, 1904-1997",Content as a Glimpse,Taschen,2004,3822821357,"Barbara Hess, Willem De Kooning"
Willem de Kooning,An Exhibition of Paintings,N/A,1990,STANFORD:36105001689053,"Willem De Kooning, Klaus Kertess, Robert Rosenblum"
Willem de Kooning,Paintings,Yale University Press,1994,0300060114,"Marla Prather, David Sylvester, Richard Shiff, National Gallery of Art (U.S.), Metropolitan Museum of Art (New York, N.Y.), Tate Gallery"
De Kooning,N/A,New York : Abbeville Press,1983,UOM:39015016616644,"Harry F. Gaugh, Willem De Kooning"
Willem de Kooning Nonstop,Cherchez la femme,University of Chicago Press,2016,9780226267586,Rosalind E. Krauss
Willem de Kooning,N/A,N/A,1965,UOM:39015041624720,"Willem De Kooning, Dore Ashton, Smith College. Museum of Art"
De Kooning,An American Master,Knopf,2004,UOM:39015058741425,"Mark Stevens, Annalyn Swan"
Willem de Kooning,N/A,N/A,1999,OCLC:922655841,N/A
De Kooning,N/A,N/A,2007,3822835455,Barbara Hess
Willem de Kooning,N/A,N/A,2003,OCLC:228439249,N/A
Willem de Kooning,Tracing the Figure,Princeton University Press,2002,069109618X,"Willem De Kooning, Cornelia H. Butler, Paul Schimmel, Museum of Contemporary Art (Los Angeles, Calif.), San Francisco Museum of Modern Art, National Gallery of Art (U.S.)"
Willem de Kooning : an Exhibition of Paintings,N/A,N/A,1990,OCLC:1334620202,Willem De Kooning
De Kooning,N/A,N/A,1975,OCLC:963159077,N/A
Willem de Kooning in East Hampton,N/A,Guggenheim Museum,1978,UOM:39015012225143,"Willem De Kooning, Diane Waldman"
Willem De Kooning,A Portrait,Createspace Independent Publishing Platform,2016,1532883374,Bert Schierbeek
"Willem de Kooning, the First Twenty-six Years in New York",N/A,Dissertations-G,1986,UOM:39015015825857,Sally Yard
"De Kooning, 1969-78",N/A,"University of Northern Iowa, Department of Art",1978,UCAL:B3908958,"Willem De Kooning, Jack Cowart, Sanford Sivitz Shaman"
De Kooning; Recent Paintings,N/A,N/A,1968,UCAL:B3287209,"Willem De Kooning, Thomas B. Hess, M. Knoedler & Co"
De Kooning,N/A,N/A,2017,383654962X,"Barbara Hess, Willem De Kooning"
Willem de Kooning,"The Late Paintings, the 1980s",Walker Art Center,1995,UCSD:31822021615752,"Willem De Kooning, Gary Garrels, Robert Storr, San Francisco Museum of Modern Art"
Willem de Kooning,An Exhibition Organized Under the Auspices of the International Council of the Museum of Modern Art,N/A,1968,OCLC:1284557,"Thomas B. Hess, Willem De Kooning"
Willem de Kooning,N/A,N/A,1997,8434308347,"Sally Yard, Willem De Kooning"
De Kooning - Zao Wou-KI,N/A,Dominique Levy Gallery,2017,1944379126,N/A
Willem De Kooning,"Works, Writings, Interviews",Ediciones Polígrafa S.A.,2007,UOM:39015074249122,Sally Yard
The Essential Willem de Kooning,N/A,Cader Books,1999,PSU:000053458285,Catherine Morris
"Willem de Kooning, 1941-1959",N/A,N/A,1974,OCLC:2055976,Willem De Kooning
Willem De Kooning,N/A,N/A,1994,0933793316,Klaus Kertess
Willem de Kooning,Drawings & Sculptures,N/A,1974,OCLC:78840227,"Willem De Kooning, Walker Art Center"
Willem De Kooning,N/A,N/A,1962,OCLC:217267406,"Allan Stone Gallery, Willem De Kooning"
Willem De Kooning,N/A,Hassell Street Press,2021,101440813X,Thomas B Cn Hess
Robert Rauschenberg's »Erased de Kooning Drawing« (1953),"Modernism, Literalism, Postmodernism",Hatje Cantz Verlag,2023,9783775755030,Gregor Stemmrich
Willem de Kooning,Paintings 1967-1984,N/A,2002,STANFORD:36105023689982,Willem De Kooning
Willem De Kooning,Reflections in the Studio,N/A,2000,UOM:39015050036196,"Edvard Lieber, Willem De Kooning"
Willem de Kooning,The Last Beginning : Exhibition in Cooperation with the Johanna Liesbeth de Kooning Trust,N/A,2007,1932598510,Willem De Kooning
Willem de Kooning,"Abstract Landscapes, 1955-1963",N/A,2004,UCSD:31822035267962,"Willem De Kooning, Gagosian Gallery"
"The Sculptures of De Kooning with Related Paintings, Drawings, and Lithographs",N/A,N/A,1977,0728701421,Willem De Kooning
Willem de Kooning,The Life of an Artist,Enslow Publishing,2002,0766018849,Louise Hawes
Willem De Kooning,Mostly Women : Drawings and Paintings from the John and Kimiko Powers Collection,N/A,2000,UCSD:31822036217131,Willem De Kooning
De Kooning,Drawings,N/A,1967,UVA:X030810127,Willem De Kooning
Willem de Kooning,From the Hirshhorn Museum Collection,Rizzoli International Publications,1993,UOM:39015026855877,"Judith Zilczer, Hirshhorn Museum and Sculpture Garden"
Willem de Kooning,"Ten Paintings, 1983-1985",Rizzoli Publications,2014,9780847843916,N/A
