"work","title","publisher","date","uri","isbn"
"http://data.bnf.fr/ark:/12148/cb35710872j#about","Willem De Kooning : paintings, [exhibition, National gallery of art, Washington, 8 May-5 September 1994, the Metropolitan museum of art, New York, 11 October 1994-8 January 1995, Tate gallery, London, 15 February-7 May 1995]","Washington : National gallery of art ; New Haven ; London : Yale university press , 1994","1994","https://catalogue.bnf.fr/ark:/12148/cb35710872j","0-89468-204-0"
"http://data.bnf.fr/ark:/12148/cb41073820m#about","De Kooning paintings : 1960-1980, Kunstmuseum Basel, [16 September 2005 - 21 Januar 2006]","Ostfildern : Hatje Cantz , cop. 2005","2005","https://catalogue.bnf.fr/ark:/12148/cb41073820m","3-7757-1629-7"
"http://data.bnf.fr/ark:/12148/cb41073820m#about","De Kooning paintings : 1960-1980, Kunstmuseum Basel, [16 September 2005 - 21 Januar 2006]","Ostfildern : Hatje Cantz , cop. 2005","2005","https://catalogue.bnf.fr/ark:/12148/cb41073820m","978-3-7757-1629-1"
"http://data.bnf.fr/ark:/12148/cb37528679g#about","American masters : the voice and the myth in modern art, Hopper, Davis, Pollock, de Kooning, Rothko, Rauschenberg, Wyeth, Cornell","New York : E. P. Dutton , 1982","1974","https://catalogue.bnf.fr/ark:/12148/cb37528679g","0-525-48000-5"
"http://data.bnf.fr/ark:/12148/cb42495901b#about","De Kooning : a retrospective, [exhibition, Museum of modern art, New York, September 18, 2011-January 9, 2012]","New York : Museum of modern art , 2011","2011","https://catalogue.bnf.fr/ark:/12148/cb42495901b","978-0-500-09363-4"
"http://data.bnf.fr/ark:/12148/cb45508315t#about","A generous vision : the creative life of Elaine de Kooning","Oxford : Oxford university press , 2017","2017","https://catalogue.bnf.fr/ark:/12148/cb45508315t","0190498471"
"http://data.bnf.fr/ark:/12148/cb45508315t#about","A generous vision : the creative life of Elaine de Kooning","Oxford : Oxford university press , 2017","2017","https://catalogue.bnf.fr/ark:/12148/cb45508315t","9780190498474"
"http://data.bnf.fr/ark:/12148/cb37512787q#about","Abstract expressionist women painters : an annotated bibliography, Elaine de Kooning, Helen Frankenthaler, Grace Hartigan, Lee Krasner, Joan Mitchell, Ethel Schwabacher","Lanham (Md.) ; London : the Scarecrow press , cop. 1996","1996","https://catalogue.bnf.fr/ark:/12148/cb37512787q","0-8108-2998-3"
"http://data.bnf.fr/ark:/12148/cb34805391g#about","Willem De Kooning : Nordatlantens ljus, [utställning], Stedelijk museum, Amsterdam, 11.5-3.7 1983, Louisiana museum of modern art, Humlebaek, 15.7-4.9 1983, Moderna museet, Stockholm, 17.9-30.10 1983","Stockholm : Moderna museet , 1984","1984","https://catalogue.bnf.fr/ark:/12148/cb34805391g","91-7100-236-7"
"http://data.bnf.fr/ark:/12148/cb37448842x#about","Willem de Kooning : from the Hirshhorn museum collection","New York : Rizzoli international ; Washington : Hirshhorn museum and sculpture garden, Smithsonian institution , 1993","1993","https://catalogue.bnf.fr/ark:/12148/cb37448842x","0-8478-1769-5"
"http://data.bnf.fr/ark:/12148/cb34982520m#about","Willem de Kooning, recent paintings, 1983-1986 : [exhibition held 21 November 1986 to 14 January 1987 at the Anthony d'Offay gallery, London]","London : Anthony d'Offay gallery , 1986","1986","https://catalogue.bnf.fr/ark:/12148/cb34982520m","0-947564-08-X"
"http://data.bnf.fr/ark:/12148/cb420846319#about","Deadline : Martin Kippenberger, Absalon, Hans Hartung, James Lee Byars, Felix Gonzalez-Torres, Joan Mitchell, Robert Mapplethorpe, Chen Zhen, Gilles Aillaud, Willem de Kooning, Hannah Villiger, Jörg Immendorff, [exposition, Musée d'art moderne de la Ville de Paris, 16 octobre 2009-10 janvier 2010]","Paris : Musée d'art moderne de la Ville de Paris : Paris musées , impr. 2009","2009","https://catalogue.bnf.fr/ark:/12148/cb420846319","978-2-7596-0108-0"
"http://data.bnf.fr/ark:/12148/cb414969394#about","Pintura al desnudo : Picasso, Dubuffet, De Kooning, Bacon, Saura, [exposición, Bilbao, Museo de bellas artes] del 11 de junio al 19 de agosto de 2001","Bilbao : Museo de bellas artes de Bilbao = Bilboko arte eder museoa , DL 2001","2001","https://catalogue.bnf.fr/ark:/12148/cb414969394","84-87184-59-6"
"http://data.bnf.fr/ark:/12148/cb37693711j#about","Willem de Kooning : reflections in the studio","New York : H.N. Abrams , cop. 2000","2000","https://catalogue.bnf.fr/ark:/12148/cb37693711j","0-8109-4560-6"
"http://data.bnf.fr/ark:/12148/cb35820687d#about","Et maintenant je veux parler de Willem de Kooning","Paris : l'Échoppe , 1996","1996","https://catalogue.bnf.fr/ark:/12148/cb35820687d","2-84068-068-8"
"http://data.bnf.fr/ark:/12148/cb347686735#about","De Kooning : petit journal de l'exposition, 28 juin-24 septembre 1984... Musée national d'art moderne, Centre Georges Pompidou [Paris]","Paris : Centre Georges Pompidou , 1984","1984","https://catalogue.bnf.fr/ark:/12148/cb347686735","2-85850-234-X"
"http://data.bnf.fr/ark:/12148/cb39294209f#about","Guerrero, De Kooning : la sabiduría del color, [exposición]... Centro José Guerrero, Granada, del 8 de marzo al 27 de mayo de 2001","Granada : Centro José Guerrero , 2001","2001","https://catalogue.bnf.fr/ark:/12148/cb39294209f","84-7807-294-2"
"http://data.bnf.fr/ark:/12148/cb469094751#about","Chaïm Soutine, Willem de Kooning, La peinture incarnée : [exposition, Paris, Musée de l'Orangerie, 15 septembre 2021-10 janvier 2022]","Paris : Musée d'Orsay : Hazan , DL 2021","2021","https://catalogue.bnf.fr/ark:/12148/cb469094751","978-2-35433-333-1"
"http://data.bnf.fr/ark:/12148/cb469094751#about","Chaïm Soutine, Willem de Kooning, La peinture incarnée : [exposition, Paris, Musée de l'Orangerie, 15 septembre 2021-10 janvier 2022]","Paris : Musée d'Orsay : Hazan , DL 2021","2021","https://catalogue.bnf.fr/ark:/12148/cb469094751","978-2-75411-192-8"
"http://data.bnf.fr/ark:/12148/cb43580674m#about","Von Dürer bis de Kooning : 100 Meisterzeichnungen, die Staatliche graphische Sammlung München zu Gast in New York, [Ausstellung, New York, Morgan library & museum, 12. Oktober 2012-6. Januar 2013]","München : Hirmer , cop. 2012","2012","https://catalogue.bnf.fr/ark:/12148/cb43580674m","3777455210"
"http://data.bnf.fr/ark:/12148/cb43580674m#about","Von Dürer bis de Kooning : 100 Meisterzeichnungen, die Staatliche graphische Sammlung München zu Gast in New York, [Ausstellung, New York, Morgan library & museum, 12. Oktober 2012-6. Januar 2013]","München : Hirmer , cop. 2012","2012","https://catalogue.bnf.fr/ark:/12148/cb43580674m","9783777455211"
"http://data.bnf.fr/ark:/12148/cb358681764#about","Willem De Kooning : de late schilderijen, 1981-1987, San Francisco museum of modern art, 3 oktober 1995-7 januari 1996, Walker art center, Minneapolis, 3 februari-8 mei 1996, Kunstmuseum, Bonn, 25 juni-18 augustus  1996, Museum Boijmans Van Beuningen, Rotterdam, 9 september-1 december 1996, Museum of modern art, New York, 22 januari-29 april 1997","Rotterdam : Boijmans Van Beuningen museum , 1996","1996","https://catalogue.bnf.fr/ark:/12148/cb358681764","90-6918-167-3"
"http://data.bnf.fr/ark:/12148/cb420179631#about","The New York schools of music and visual arts : John Cage, Morton Feldman, Edgard Varèse, Willem de Kooning, Jasper Johns, Robert Rauschenberg","New York, N.Y. ; London : Routledge , 2002","2002","https://catalogue.bnf.fr/ark:/12148/cb420179631","0415936942"
"http://data.bnf.fr/ark:/12148/cb420179631#about","The New York schools of music and visual arts : John Cage, Morton Feldman, Edgard Varèse, Willem de Kooning, Jasper Johns, Robert Rauschenberg","New York, N.Y. ; London : Routledge , 2002","2002","https://catalogue.bnf.fr/ark:/12148/cb420179631","0815333641"
"http://data.bnf.fr/ark:/12148/cb425047622#about","Maskierung der Malerei : Jasper Johns nach Willem de Kooning","München : W. Fink , cop. 2008","2008","https://catalogue.bnf.fr/ark:/12148/cb425047622","3770546679"
"http://data.bnf.fr/ark:/12148/cb425047622#about","Maskierung der Malerei : Jasper Johns nach Willem de Kooning","München : W. Fink , cop. 2008","2008","https://catalogue.bnf.fr/ark:/12148/cb425047622","9783770546671"
"http://data.bnf.fr/ark:/12148/cb38841654h#about","Willem de Kooning : tracing the figure, [exhibition, Los Angeles, Museum of contemporary art, 10 February-26 April 2002, San Francisco, San Francisco museum of modern art, 22 June-8 September 2002, Washington, National gallery of art, 29 September 2002-5 January 2003]","Los Angeles : Museum of contemporary art ; Princeton ; Oxord : Princeton university press , 2002","2002","https://catalogue.bnf.fr/ark:/12148/cb38841654h","0-691-09618-X"
"http://data.bnf.fr/ark:/12148/cb38859629f#about","Willem de Kooning : [exposición] Institut valencià d'art modern, Valencia, 6-IX/2-XII 2001, Fundación la Caixa, Madrid, 20-XII 2001/25-III 2002","Valencia : Institut valencià d'art modern ; Madrid : Fundacio la Caixa , 2001","2001","https://catalogue.bnf.fr/ark:/12148/cb38859629f","84-482-2862-6"
"http://data.bnf.fr/ark:/12148/cb38859629f#about","Willem de Kooning : [exposición] Institut valencià d'art modern, Valencia, 6-IX/2-XII 2001, Fundación la Caixa, Madrid, 20-XII 2001/25-III 2002","Valencia : Institut valencià d'art modern ; Madrid : Fundacio la Caixa , 2001","2001","https://catalogue.bnf.fr/ark:/12148/cb38859629f","84-7664-732-8"
"http://data.bnf.fr/ark:/12148/cb356992193#about","Willem De Kooning","Paris : l'Échoppe , 1994","1994","https://catalogue.bnf.fr/ark:/12148/cb356992193","2-84068-029-7"
"http://data.bnf.fr/ark:/12148/cb41340137k#about","L'art contemporain : de l'informel aux recherches actuelles, Marina Abramović, Joseph Beuys, Maurizio Cattelan, Francesco Clemente, Willem de Kooning, Jean Dubuffet, Lucio Fontana, Keith Haring, Anselm Kiefer, Franz Kline, Joseph Kosuth, Mario Merz, Bruce Nauman, Jackson Pollock, Robert Rauschenberg, Richard Serra, Bill Viola, Andy Warhol","Paris : Gründ , DL 2008","2008","https://catalogue.bnf.fr/ark:/12148/cb41340137k","978-2-7000-2420-3"
"http://data.bnf.fr/ark:/12148/cb39220415h#about","Willem De Kooning, 1904-1997 : les contenus, impressions fugitives","Köln ; London ; Paris [etc.] : Taschen , cop. 2004","2004","https://catalogue.bnf.fr/ark:/12148/cb39220415h","3-8228-2134-9"
"http://data.bnf.fr/ark:/12148/cb367039389#about","De Kooning : 1904-1997","Paris : Cercle d'art , 1998","1998","https://catalogue.bnf.fr/ark:/12148/cb367039389","2-7022-0500-6"
"http://data.bnf.fr/ark:/12148/cb374805947#about","Willem de Kooning","New York : Abbeville press , cop. 1983","1983","https://catalogue.bnf.fr/ark:/12148/cb374805947","1-55859-248-2"
"http://data.bnf.fr/ark:/12148/cb47124975c#about","Willem de Kooning","Lyon : Fage éditions , DL 2022","2022","https://catalogue.bnf.fr/ark:/12148/cb47124975c","978-2-84975-687-4"
"http://data.bnf.fr/ark:/12148/cb399985699#about","Willem de Kooning, een portret","Leiden : Menken Kasander & Wigman , 2005","2005","https://catalogue.bnf.fr/ark:/12148/cb399985699","90-74622-53-4"
"http://data.bnf.fr/ark:/12148/cb46970628b#about","Chaïm Soutine, Willem de Kooning, La peinture incarnée : Musée de l'Orangerie","Paris : ""Beaux-arts"" éditions , DL 2021","2021","https://catalogue.bnf.fr/ark:/12148/cb46970628b","979-10-204-0639-2"
"http://data.bnf.fr/ark:/12148/cb41066822t#about","Willem De Kooning : works, writings and interviews","Barcelona : Ed. Polígrafa , 2007","2007","https://catalogue.bnf.fr/ark:/12148/cb41066822t","978-84-343-1138-1"
"http://data.bnf.fr/ark:/12148/cb41040899j#about","Willem de Kooning","Paris : Hazan , DL 2006","2007","https://catalogue.bnf.fr/ark:/12148/cb41040899j","978-2-7541-0176-9"
